stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
680,680,Kazimierza Wielkiego/Antoniewicza(680),,53.151720,23.201913,1,
681,681,Kazimierza Wielkiego/Antoniewicza(681),,53.152710,23.202380,1,
440,440,Składowa/Hurtowa(440),,53.117607,23.126200,1,
682,682,Kazimierza Wielkiego/Trawiasta(682),,53.154752,23.202268,1,
683,683,Żyzna/Pętla(683),,53.152622,23.201615,1,
200,200,42. Pułku Piechoty/Brzechwy(200),,53.142873,23.211348,1,
684,684,Kazimierza Wielkiego/Trawiasta(684),,53.155867,23.202752,1,
442,442,Sosnowskiego/Grunwaldzka(442),,53.129988,23.145415,1,
201,201,42. Pułku Piechoty/Chabrowa(201),,53.144288,23.200600,1,
685,685,Kazimierza Wielkiego/Raginisa(685),,53.159952,23.199645,1,
443,443,Kalinowskiego/Opera Podlaska(443),,53.131448,23.150005,1,
202,202,42. Pułku Piechoty/Robotnicza(202),,53.144308,23.194377,1,
686,686,Krzywoustego/Raginisa(686),,53.161180,23.198230,1,
444,444,Sosnowskiego/Wyszyńskiego(444),,53.128916,23.144487,1,
203,203,Gen. Sosabowskiego/Krańcowa(203),,53.144083,23.189198,1,
445,445,Plac NZS(445),,53.130842,23.154880,1,
687,687,Krzywoustego/Wysockiego(687),,53.167258,23.188307,1,
204,204,42. Pułku Piechoty/Hotel(204),,53.144217,23.192573,1,
446,446,Kalinowskiego/Teatr Lalek(446),,53.131287,23.152345,1,
688,688,Halicka/Leśnej Jagody(688),,53.076562,23.218578,1,
447,447,Skłodowskiej/Książnica Podlaska(447),,53.127907,23.159178,1,
689,689,Halicka/Lubczykowa(689),,53.076765,23.217495,1,
206,206,Lipowa/Św. Rocha(206),,53.133954,23.149067,1,
448,448,Skłodowskiej/Hortex(448),,53.126532,23.161228,1,
207,207,Świętojańska/Akademicka(207),,53.125427,23.167538,1,
449,449,Liniarskiego/Plac NZS(449),,53.131257,23.155569,1,
208,208,Świętojańska/Galeria Alfa(208),,53.125865,23.168595,1,
690,690,Kuronia/Suchowolca(690),,53.108337,23.210190,1,
691,691,Proroka Eliasza/Kuronia(691),,53.105582,23.209965,1,
692,692,Kuronia/Proroka Eliasza(692),,53.107352,23.209230,1,
450,450,Kolbego/Raginisa(450),,53.159833,23.196625,1,
451,451,Starosielce PKP/Pętla(451),,53.121890,23.086710,1,
693,693,Niewodnica(693),,53.071652,23.083577,2,
210,210,Lipowa/Nowy Świat(210),,53.133354,23.152885,1,
452,452,Starosielce PKP/Pętla(452),,53.122104,23.087117,1,
694,694,Brzoskwiniowa/Mickiewicza(694),,53.086237,23.201513,1,
211,211,pl. Niepodległości/Kościół Św. Rocha(211),,53.134983,23.146577,1,
453,453,Kuronia/Myśliwska(453),,53.104944,23.197828,1,
695,695,Brzoskwiniowa/Mickiewicza(695),,53.085942,23.200942,1,
454,454,Kuronia/Kalicińskiego(454),,53.103992,23.205615,1,
212,212,Waszyngtona/Szpital Uniwersytecki(212),,53.126041,23.158882,1,
696,696,Dojlidy Górne/Brzoskwiniowa (C)(696),,53.087707,23.210392,1,
455,455,Kuronia/Browar(455),,53.104277,23.203748,1,
213,213,Waszyngtona/Szpital DSK(213),,53.124837,23.155468,1,
697,697,Dojlidy Górne/Grabowa (D)(697),,53.092737,23.211265,1,
456,456,Swobodna(456),,53.144205,23.106978,1,
698,698,Mickiewicza/Wiewiórcza(698),,53.110448,23.181212,1,
214,214,Kombatantów(214),,53.150725,23.158455,1,
457,457,Swobodna/Łagodna(457),,53.147558,23.108603,1,
699,699,Mickiewicza/Ogródki Działkowe (C)(699),,53.101557,23.187722,1,
458,458,Swobodna/Szeroka(458),,53.148005,23.109158,1,
216,216,11 Listopada/Szpital(216),,53.123297,23.163018,1,
459,459,Swobodna/Wysoki Stoczek(459),,53.144056,23.106646,1,
217,217,11 Listopada/Stadion(217),,53.120773,23.160847,1,
218,218,11 Listopada/Park(218),,53.121547,23.161637,1,
219,219,Klepacka/Lawendowa(219),,53.116443,23.096236,1,
460,460,Świętokrzyska/Orzechowa(460),,53.155338,23.139355,1,
461,461,Gen. Andersa/Fabryka Mebli(461),,53.148135,23.177668,1,
220,220,Kaczorowskiego/Cieszyńska(220),,53.126573,23.150428,1,
462,462,Gen. Andersa/Bitwy Białostockiej(462),,53.151432,23.169027,1,
221,221,Kaczorowskiego/Waszyngtona(221),,53.124565,23.149197,1,
463,463,Świętokrzyska/Orzechowa(463),,53.156381,23.140249,1,
222,222,Kaczorowskiego/Opera Podlaska(222),,53.127445,23.151632,1,
464,464,Gen. Andersa/Fabryka Dywanów(464),,53.154245,23.161492,1,
223,223,Kaczorowskiego/Wyszyńskiego(223),,53.123667,23.148258,1,
465,465,Gen. Andersa/1000-lecia PP(465),,53.158493,23.153223,1,
224,224,Kopernika/Kaczorowskiego(224),,53.121693,23.145387,1,
466,466,Świętokrzyska/Gen. Maczka(466),,53.158657,23.140928,1,
225,225,Meksykańska/IPN (C)(225),,53.120117,23.084145,1,
467,467,Gen. Kleeberga(467),,53.157095,23.089909,1,
226,226,Meksykańska/IPN(226),,53.120772,23.084147,1,
468,468,Gen. Kleeberga/Wróblewskiego(468),,53.155997,23.088194,1,
227,227,Nowosielska/Węgierska(227),,53.123415,23.081752,1,
469,469,Gen. Maczka/Świętokrzyska(469),,53.159292,23.142392,1,
228,228,Nowosielska/Osiedle KZKS(228),,53.127368,23.077192,1,
229,229,Nowosielska/Osiedle KZKS(229),,53.128098,23.076870,1,
470,470,Gen. Andersa/1000-lecia PP(470),,53.158248,23.152380,1,
471,471,Gen. Andersa/Fabryka Dywanów(471),,53.154419,23.159689,1,
230,230,Nowosielska/Węgierska(230),,53.123958,23.080963,1,
472,472,Elektrociepłownia/Pętla(472),,53.152601,23.166406,1,
231,231,Meksykańska/Rumuńska(231),,53.114872,23.082535,1,
473,473,Gen. Andersa/Bitwy Białostockiej(473),,53.152251,23.165697,1,
232,232,Klepacze/Sklep(232),,53.108450,23.075492,1,
474,474,Gen. Andersa/Elektrociepłownia(474),,53.151243,23.168506,1,
233,233,Klepacze/Pętla(233),,53.106305,23.068182,2,
475,475,Gen. Andersa/Fabryka Mebli (475),,53.147833,23.177850,1,
234,234,Klepacze/Remiza(234),,53.108835,23.076163,1,
476,476,Gen. Andersa/Wasilkowska(476),,53.146647,23.181658,1,
235,235,Meksykańska/Watykańska(235),,53.115528,23.083160,1,
477,477,Elektrociepłownia/Pętla(477),,53.152849,23.165773,1,
236,236,Mickiewicza/Uniwersytet Medyczny(236),,53.129857,23.167632,1,
478,478,Gen. Sosabowskiego/Wasilkowska(478),,53.145380,23.183611,1,
237,237,Mickiewicza/Grottgera(237),,53.123757,23.172363,1,
479,479,Kapralska/Pionierska(479),,53.142557,23.185940,1,
238,238,Mickiewicza/Kościół Św. Ojca Pio(238),,53.119597,23.174685,1,
239,239,Mickiewicza/Zwierzyniecka(239),,53.116585,23.176670,1,
480,480,Traugutta/Wasilkowska(480),,53.142348,23.180670,1,
481,481,Traugutta/Dworzec Fabryczny(481),,53.141165,23.184343,1,
240,240,Mickiewicza/Ciołkowskiego(240),,53.113712,23.178755,1,
482,482,Kapralska/Pusta(482),,53.143393,23.186293,1,
241,241,Mickiewicza/Wiewiórcza(241),,53.111570,23.180617,1,
483,483,Traugutta/Kościół(483),,53.141502,23.183486,1,
242,242,Mickiewicza/Jagiellońska(242),,53.116293,23.177107,1,
484,484,Traugutta/Wasilkowska(484),,53.143208,23.179528,1,
243,243,Mickiewicza/Miłosza(243),,53.120861,23.174179,1,
001,001,Antoniuk Fabryczny/Swobodna(001),,53.150615,23.111835,1,
485,485,Towarowa/Piastowska(485),,53.135812,23.195113,1,
244,244,Mickiewicza/Orzeszkowej(244),,53.125199,23.171722,1,
002,002,Antoniuk Fabryczny/Konstytucji 3 Maja(002),,53.147935,23.118668,1,
486,486,Towarowa/Kraszewskiego(486),,53.139717,23.183498,1,
245,245,Mickiewicza/Urząd Wojewódzki(245),,53.128405,23.169167,1,
003,003,Antoniuk Fabryczny/Ogrodniczki(003),,53.145457,23.128130,1,
487,487,Towarowa/Pętla(487),,53.138308,23.186757,1,
004,004,Antoniukowska/Świętokrzyska(004),,53.144570,23.131963,1,
246,246,Mickiewicza/Liceum(246),,53.108203,23.182857,1,
488,488,Towarowa/Dworzec Fabryczny(488),,53.138410,23.187273,1,
489,489,Towarowa/Parking(489),,53.137145,23.190772,1,
247,247,Kuronia/Mickiewicza(247),,53.105665,23.186123,1,
006,006,Antoniuk Fabryczny/Jarzębinowa(006),,53.150795,23.111927,1,
248,248,Mickiewicza/Sąd Rejonowy(248),,53.106153,23.184687,1,
007,007,Antoniuk Fabryczny/Gajowa(007),,53.146318,23.125422,1,
249,249,Mickiewicza/Liceum(249),,53.109170,23.182482,1,
1907,1907,Niewodnica Nargilewska(1907),,53.059329,23.210740,2,
008,008,Boh. M. Cassino/Łomżyńska(008),,53.129186,23.136133,1,
009,009,Sowlańska/Piaskowa(009),,53.120105,23.210215,1,
1900,1900,Kuriany III (K)(1900),,53.089560,23.254749,2,
490,490,Towarowa/Garaże(490),,53.136643,23.192675,1,
491,491,Towarowa/Daleka(491),,53.139192,23.185393,1,
250,250,Waszyngtona/Wesoła(250),,53.123823,23.150430,1,
492,492,Towarowa/Kraszewskiego(492),,53.140485,23.181700,1,
493,493,Wiosenna/Kawaleryjska(493),,53.111851,23.147555,1,
251,251,Mieszka I/Apteka(251),,53.133587,23.191238,1,
252,252,Mieszka I/Szkoła(252),,53.134913,23.187343,1,
494,494,Wiosenna/11 Listopada(494),,53.109559,23.149218,1,
010,010,Wierzbowa/Ordonówny(010),,53.141925,23.128954,1,
495,495,Transportowa/Pętla(495),,53.109098,23.115307,1,
253,253,Piasta/Skorupska(253),,53.134757,23.180963,1,
011,011,Antoniukowska/Wierzbowa(011),,53.143127,23.133978,1,
254,254,Słonimska/Urząd Miejski(254),,53.134102,23.173760,1,
012,012,Antoniukowska/Knyszyńska(012),,53.140238,23.138163,1,
496,496,1000-lecia PP/Zakłady Graficzne(496),,53.143928,23.157548,1,
255,255,Mieszka I/Piastowska(255),,53.133115,23.192292,1,
013,013,Antoniukowska/Owsiana(013),,53.141213,23.137112,1,
497,497,1000-lecia PP/Bitwy Białostockiej(497),,53.146180,23.157331,1,
014,014,Antoniukowska/Narewska(014),,53.142756,23.134927,1,
256,256,Słonimska/Urząd Miejski(256),,53.134231,23.174632,1,
498,498,1000-lecia PP/Kombatantów(498),,53.151222,23.154668,1,
015,015,Nowowarszawska/Ciołkowskiego(015),,53.120673,23.195381,1,
257,257,Piasta(257),,53.134723,23.183126,1,
499,499,1000-lecia PP/Wileńska(499),,53.155373,23.152478,1,
258,258,Wierzbowa/Rondo Reagana(258),,53.138491,23.121491,1,
016,016,Armii Krajowej/Powstańców(016),,53.129600,23.094653,1,
259,259,Raginisa/Gwiazdkowa(259),,53.167991,23.209442,1,
017,017,Magnoliowa/Szkoła(017),,53.119725,23.095340,1,
018,018,Armii Krajowej/Szkoła(018),,53.132223,23.089377,1,
019,019,Armii Krajowej/Batalionów Chłopskich(019),,53.128713,23.095775,1,
260,260,Niemeńska/Berezyńska(260),,53.168405,23.218348,1,
